Email,First Name,Last Name,Company,Industry,Phone,Address,City,State,Reviews,Website,,,
giansdeli@yahoo.com,N/A,N/A,Gian's Delicatessen,Butcher,(209) 469-0108,"2112 Pacific Ave, Stockton, CA 95204, USA",Stockton,CA,333,,,,
freedommeatlockers@gmail.com,N/A,N/A,Freedom Meat Lockers,Butcher,(831) 724-4355,"160 Hi Grade Ln, Freedom, CA 95019, USA",Freedom,CA,328,,,,
fourwaymeatmarkets@outlook.com,N/A,N/A,4 Way Meat Market,Butcher,(805) 278-4460,"440 N Rose Ave, Oxnard, CA 93030, USA",Oxnard,CA,323,mexican but theres a handful of these,,,
info@lebeaumarket.com,N/A,N/A,Le Beau Market,Grocery Store,(415) 885-3030,"1263 Leavenworth St, San Francisco, CA 94109, USA",San Francisco,CA,303,,,,
info@redbarnmkt.com,N/A,N/A,Red Barn Market,Butcher,(805) 643-5107,"995 N Ventura Ave, Ventura, CA 93001, USA",Ventura,CA,296,,,,
luisbutcher@yahoo.com,N/A,N/A,Luis' Butcher Shop,Butcher,(562) 622-1188,"Located in the Imperial Shops Plaza, 9071 Imperial Hwy., Downey, CA 90242, USA",Downey,CA,288,,,,
dan.keith@sbcglobal.net,Dan,Keith,Rocca's Market,Butcher,(408) 683-2330,"13335 Monterey Rd, San Martin, CA 95046, USA",San Martin,CA,281,,,,
info@rattos.com,N/A,N/A,Ratto's,Deli,(510) 832-6503,"821 Washington St, Oakland, CA 94607, USA",Oakland,CA,279,,,,
santacruzmarkets@gmail.com,N/A,N/A,Santa Cruz Market,Butcher,(805) 643-7810,"1947 E Main St, Ventura, CA 93001, USA",Ventura,CA,278,,,,
,N/A,N/A,Pape Meat Co,Butcher,(650) 697-2232,"25 Hillcrest Blvd, Millbrae, CA 94030, USA",Millbrae,CA,277,,,,
norcalmeats@outlook.com,N/A,N/A,Roseville Meat Company,Butcher,(916) 782-2705,"700 Atlantic St, Roseville, CA 95678, USA",Roseville,CA,275,,,,
prmgrocery@pacificranchmarket.com,N/A,N/A,Pacific Ranch Market,Butcher,(714) 639-9792,"7540 E Chapman Ave, Orange, CA 92869, USA",Orange,CA,275,,,,
Frankashkar@gmail.com,N/A,N/A,Jim's Fallbrook Market,Gourmet Market,(818) 347-5525,"5947 Fallbrook Ave, Woodland Hills, CA 91367, USA",Woodland Hills,CA,270,,,,
wooddalemeats@yahoo.com,N/A,N/A,Wood-Dale Market,Butcher,(661) 832-7373,"250 S, 250 Stine Rd, Bakersfield, CA 93309, USA",Bakersfield,CA,264,,,,
,form,N/A,Mario's Butcher Shop,Butcher,(949) 316-4318,"1000 Bristol St N, Newport Beach, CA 92660, USA",Newport Beach,CA,264,,,,
anna@themeatmarket.com,Anna,N/A,The Clovis Meat Market,Butcher,(559) 256-1390,"1990 N Fowler Ave # 120, Clovis, CA 93619, USA",Clovis,CA,263,,,,
brian@butcherymeats.com,Brian,Smith,The Butchery,Butcher,(858) 345-1524,"3720 Caminito Ct #200, San Diego, CA 92130, USA",San Diego,CA,255,,,,
,form,N/A,A & R Custom Butchering Retail Meats and Deli,Butcher,(530) 527-6483,"1055 Main St, Red Bluff, CA 96080, USA",Red Bluff,CA,250,looks very nice,,,
karabagh@sbcglobal.net,N/A,N/A,Karabagh Meat Market,Butcher,(323) 469-5787,"5363 Santa Monica Blvd, Los Angeles, CA 90029, USA",Los Angeles,CA,238,,,,
info@oliviersbutchery.com,N/A,N/A,Olivier's Butchery,Butcher,(415) 558-9887,"1192 Illinois St, San Francisco, CA 94107, USA",San Francisco,CA,234,,,,
info@acabutchershop.com,N/A,N/A,A Cut Above Butcher Shop,Butcher,(310) 998-8500,"2453 Santa Monica Blvd, Santa Monica, CA 90404, USA",Santa Monica,CA,227,"looks nice, I do not see private label",,,
,form,N/A,Wood-Dale Market,Butcher,(661) 735-7585,"11402 Ming Ave # 520, Bakersfield, CA 93311, USA",Bakersfield,CA,225,,,,
info@thewiseoxsd.com,N/A,N/A,The Wise Ox Butcher & Deli,Butcher,(619) 564-8976,"2855 El Cajon Blvd #1, San Diego, CA 92104, USA",San Diego,CA,213,,,,
swilson@markethallfoods.com,Sara,Wilson,Market Hall Foods Oakland,Gourmet Market,(510) 250-6005,"5655 College Ave Suite 315A, Oakland, CA 94618, USA",Oakland,CA,209,,,,
diana@lariosmarket.com,Diana,Larios,Larios Meat Market,Butcher,(909) 606-2222,"4008 Chino Hills Pkwy, Chino Hills, CA 91709, USA",Chino Hills,CA,176,,,,
sanchezmeatmarketco@yahoo.com,N/A,N/A,Sanchez Meat Co,Butcher,(310) 391-3640,"4525 Inglewood Blvd, Culver City, CA 90230, USA",Culver City,CA,175,,,,
cbs.laverne@gmail.com,N/A,N/A,The Corner Butcher Shop,Butcher,(909) 596-6345,"2359 Foothill Blvd, La Verne, CA 91750, USA",La Verne,CA,169,,,,
info@fmcmeats.com,N/A,N/A,Francisco's Meat Co,Butcher,(714) 630-4314,"3081 E Miraloma Ave, Anaheim, CA 92806, USA",Anaheim,CA,168,,,,
trattoria_itrulli@yahoo.com,N/A,N/A,The Market By Buon Appetito,Gourmet Market,(619) 237-1335,"1605 India St, San Diego, CA 92101, USA",San Diego,CA,167,,,,
fernando2fierro@gmail.com,N/A,N/A,Monarca's Meat Market,Butcher,(805) 382-0957,"2671 N Ventura Rd, Port Hueneme, CA 93041, USA",Port Hueneme,CA,165,,,,
info@brunosmarket.com,N/A,N/A,Brunos Market,Butcher,(619) 432-1950,"2988 Imperial Ave, San Diego, CA 92102, USA",San Diego,CA,165,,,,
info@ranch45.com,N/A,N/A,Ranch 45 Local Provisions,Butcher,(858) 461-0092,"512 Via De La Valle #102, Solana Beach, CA 92075, USA",Solana Beach,CA,163,,,,
martinsmeat@gmail.com,N/A,N/A,Martin's Meats & Catering,Butcher,(661) 325-4262,"801 21st St, Bakersfield, CA 93301, USA",Bakersfield,CA,162,,,,
Evergreenmarketsf@gmail.com,N/A,N/A,Evergreen Market,supermarket,(415) 641-4506,"2539 Mission St, San Francisco, CA 94110, USA",San Francisco,CA,161,,,,
casey@kingsmeats.net,Casey,N/A,Kings Meats,Butcher,(530) 497-5398,"787 Pleasant Valley Rd, Diamond Springs, CA 95619, USA",Diamond Springs,CA,154,,,,
Sevanmeat@yahoo.com,N/A,N/A,Sevan Meat Market,Butcher,(818) 396-4334,"1315 E Colorado St, Glendale, CA 91205, USA",Glendale,CA,149,,,,
loshermanosmarket@outlook.com,N/A,N/A,Los Hermanos Meat Market,Butcher,(209) 946-0344,"2202 E Fremont St, Stockton, CA 95205, USA",Stockton,CA,142,,,,
freshmeatmarketsf@gmail.com,N/A,N/A,Fresh Meat Seafood Market,Butcher,(415) 550-8044,"2704 Mission St, San Francisco, CA 94110, USA",San Francisco,CA,135,,,,
santafemeat@att.net,N/A,N/A,Santa Fe Meats / Grocery & Taqueria,Butcher,(619) 349-3343,"2514 Main St, Chula Vista, CA 91911, USA",Chula Vista,CA,135,,,,
saswata_b@yahoo.com,N/A,N/A,The Meat Corner,Butcher,(408) 931-6469,"1036 E El Camino Real, Sunnyvale, CA 94087, USA",Sunnyvale,CA,135,,,,
info@budscustommeat.com,N/A,N/A,Bud's Custom Meats,Butcher,(707) 795-8402,"7750 Petaluma Hill Rd, Penngrove, CA 94951, USA",Penngrove,CA,132,,,,
bobscountrymeatsscv@gmail.com,N/A,N/A,Bob's Country Meats,Butcher,(661) 251-5995,"19012 Soledad Canyon Rd Suite A, Santa Clarita, CA 91351, USA",Santa Clarita,CA,130,,,,
info@thelocalbutchershop.com,N/A,N/A,The Local Butcher Shop,Butcher,(510) 845-6328,"94709 (Entrance on Cedar 1600, Shattuck Ave., Berkeley, CA 94709, USA",Berkeley,CA,127,,,,
info@freshmeatfactory.com,N/A,N/A,Fresh Meat Factory,Butcher,(925) 666-5051,"4000 Pimlico Dr UNIT 100, Pleasanton, CA 94588, USA",Pleasanton,CA,126,,,,
info@baronsmeats.com,N/A,N/A,Barons Quality Meats & Seafood,Butcher,(415) 654-5449,"1706 Church St, San Francisco, CA 94131, USA",San Francisco,CA,122,,,,
pappyts@taylorsausage.com,N/A,N/A,Taylor's Sausage,Butcher,(510) 832-6448,"907 Washington St, Oakland, CA 94607, USA",Oakland,CA,120,,,,
,N/A,N/A,LIVERMORE BUTCHER SHOP,Butcher,(925) 583-5066,"282 S L St, Livermore, CA 94550, USA",Livermore,CA,120,,,,
Bryan@popsmeats.com,Bryan,N/A,Pop's Premium Meat Shop,Butcher,(916) 930-6328,"10044 Bruceville Rd #180, Elk Grove, CA 95757, USA",Elk Grove,CA,115,,,,
luismeatmarketbf@yahoo.com,N/A,N/A,Luis Meat Market,Butcher,(562) 461-1111,"10308 Artesia Blvd, Bellflower, CA 90706, USA",Bellflower,CA,114,,,,
folsomqualitymeatandgrocery@gmail.Com,N/A,N/A,Folsom Quality Meat Market and Grocery /Kabul Bazaar,Butcher,(916) 984-4700,"640 E Bidwell St, Folsom, CA 95630, USA",Folsom,CA,110,,,,
orders@howiesalexanders.com,N/A,N/A,Alexanders Prime Meats and Catering,Butcher,(626) 286-6767,"6580 N San Gabriel Blvd, San Gabriel, CA 91775, USA",San Gabriel,CA,110,,,,
info@themeatup.com,N/A,N/A,The Meat Up,Butcher,(559) 963-6328,"7010 N Marks Ave, Fresno, CA 93711, USA",Fresno,CA,105,,,,
lombardosdelisocialmedia@gmail.com,N/A,N/A,Lombardo's Gourmet Deli,Butcher,(805) 482-7318,"695 Mobil Ave, Camarillo, CA 93010, USA",Camarillo,CA,104,,,,
info@carljohnsonco.com,N/A,N/A,Carl Johnson Company,Mercantile,(707) 443-4851,"3950 Jacobs Ave, Eureka, CA 95501, USA",Eureka,CA,103,,,,
info@standingsbutchery.com,N/A,N/A,Standing's Butchery,Butcher,(323) 413-2212,"7016 Melrose Ave, Los Angeles, CA 90038, USA",Los Angeles,CA,103,,,,
tm.meatmarket.2004@gmail.com,N/A,N/A,TM Meat Market,Butcher,(916) 393-3050,"6181 Mack Rd, Sacramento, CA 95823, USA",Sacramento,CA,100,,,,
thebutcher@gambrelandco.com,N/A,N/A,Gambrel & Co.,Butcher,(650) 260-2622,"810 Main St, Redwood City, CA 94063, USA",Redwood City,CA,99,,,,
service@gemgourmetmeats.com,N/A,N/A,Gem Gourmet Meats,Butcher,(714) 996-3363,"3125 Yorba Linda Blvd, Fullerton, CA 92831, USA",Fullerton,CA,98,,,,
fivepointsmeatmarket@gmail.com,N/A,N/A,Five Points Meat Market,Butcher,(805) 643-0318,"3049 E Main St, Ventura, CA 93003, USA",Ventura,CA,97,,,,
shop@socomeatco.com,N/A,N/A,Sonoma County Meat Co.,Butcher,(707) 521-0121,"35 Sebastopol Ave, Santa Rosa, CA 95407, USA",Santa Rosa,CA,94,,,,
info@mccallsmeatandfish.com,N/A,N/A,McCall's Meat & Fish Co,Butcher,(323) 667-0674,"3141 Glendale Blvd, Los Angeles, CA 90039, USA",Los Angeles,CA,92,,,,
info@thevillagebutcher209.com,N/A,N/A,The Village Butcher & Deli,Butcher,(209) 422-6923,"1700 McHenry Ave #65, Modesto, CA 95350, USA",Modesto,CA,91,,,,
farwesfarwestwestmeataguirre@gmail.com,N/A,N/A,Inland Valley Meats (formerly Far West Meats),Butcher,(909) 864-1990,"360 E Valley Blvd, Colton, CA 92324, USA",Colton,CA,88,,,,
ThreeCorners5945@gmail.com,N/A,N/A,3 Corners Market,C-Store,(707) 442-1678,"40224106, 5945 Myrtle Avenue, Eureka, CA 95503, USA",Eureka,CA,88,,,,
hello@theepicureantrader.com,N/A,N/A,The Epicurean Trader,Gourmet Market,(888) 504-8118,"465 Hayes St, San Francisco, CA 94102, USA",San Francisco,CA,85,,,,
vtameatco@gmail.com,N/A,N/A,The Ventura Meat Company,Butcher,(805) 667-9159,"2650 E Main St, Ventura, CA 93003, USA",Ventura,CA,80,,,,
,N/A,N/A,Prime Selection,Butcher,(619) 276-8888,"980 Buenos Ave, San Diego, CA 92110, USA",San Diego,CA,80,,,,
willowsidemeatsllc@gmail.com,N/A,N/A,Willowside Meats,Butcher,(707) 546-8404,"3421 Guerneville Rd, Santa Rosa, CA 95401, USA",Santa Rosa,CA,76,,,,
nicole@brunksbutchery.com,Nicole,N/A,Brunk's Butchery,Butcher,(951) 407-1016,"3591 Hamner Ave Suite E, Norco, CA 92860, USA",Norco,CA,73,,,,
davesmeatservice@gmail.com,N/A,N/A,Dave's Meat Service,Butcher,(209) 527-2861,"5149 Blue Gum Ave, Modesto, CA 95358, USA",Modesto,CA,71,,,,
waprimemeatmarket@gmail.com,N/A,N/A,"Angus Meat Market | Premium Quality Butcher Shop for Wagyu, Korean BBQ, Shabu Shabu",Butcher,(310) 791-1300,"3742 Sepulveda Blvd, Torrance, CA 90505, USA",Torrance,CA,71,,,,
Chaseschopshop@icloud.com,N/A,N/A,Chase's Chop Shop,Butcher,(559) 674-6247,"412 W Olive Ave, Madera, CA 93637, USA",Madera,CA,70,,,,
,N/A,N/A,Brees' Quality Meats,Butcher,(714) 892-1115,"11877 Valley View St, Garden Grove, CA 92845, USA",Garden Grove,CA,69,,,,
info@bbmeats.com,N/A,N/A,Butcher Block Quality Meats,Butcher,(661) 829-6628,"10618 Hageman Rd Suite A1, Bakersfield, CA 93312, USA",Bakersfield,CA,65,,,,
jim@huntingtonmeats.com,Jim,N/A,Huntington Meats & Sausages,Butcher,(323) 938-5383,"Farmers market, 6333 W 3rd St, Los Angeles, CA 90036, USA",Los Angeles,CA,65,,,,
letseat@lakewoodmeats.com,N/A,N/A,Lakewood Meats & Sausage,Butcher,(209) 369-1122,"316 N Ham Ln, Lodi, CA 95242, USA",Lodi,CA,63,,,,
,N/A,N/A,Sections Fine Meats,Butcher,(949) 432-5120,"333 E 17th St #22, Costa Mesa, CA 92627, USA",Costa Mesa,CA,63,,,,
Bmms1911@gmail.com,N/A,N/A,Bains Marinated Meat Shop,Butcher,(916) 639-3660,"8851 Calvine Rd A, Sacramento, CA 95828, USA",Sacramento,CA,62,,,,
timestrada@pointbutchershop.com,Tim,Estrada,Point Butcher Shop,Butcher,(831) 600-7889,"3615 Portola Dr, Santa Cruz, CA 95062, USA",Santa Cruz,CA,62,,,,
info@saratogameatandfish.com,N/A,N/A,Saratoga Meat & Fish,Butcher,(408) 621-9075,"14320 Saratoga Sunnyvale Rd #5, Saratoga, CA 95070, USA",Saratoga,CA,58,,,,
themeatboutique20@gmail.com,N/A,N/A,The Meat Boutique,Butcher,(951) 535-0335,"371 Wilkerson Ave N, Perris, CA 92570, USA",Perris,CA,57,,,,
Info@bestbutchershop.com,N/A,N/A,BEST BUTCHER SHOP,Butcher,(908) 251-1777,"1200 S Figueroa St, Los Angeles, CA 90015, USA",Los Angeles,CA,55,,,,
,N/A,N/A,The Meat Company Los Alamitos,Butcher,(562) 296-5434,"11139 Los Alamitos Blvd, Rossmoor, CA 90720, USA",Rossmoor,CA,55,,,,
ferndalemeat@outlook.com,N/A,N/A,Ferndale Meat Co,Butcher,(707) 786-4501,"376 Main St, Ferndale, CA 95536, USA",Ferndale,CA,53,,,,
,form,N/A,Bisher's Quality Meats,Butcher,(760) 789-1488,"2330 Main St, Ramona, CA 92065, USA",Ramona,CA,53,,,,
,form,N/A,Laird's Butcher Shop,Butcher,(805) 525-3517,"574 W Main St, Santa Paula, CA 93060, USA",Santa Paula,CA,50,,,,
marina.meats@icloud.com,N/A,N/A,Marina Meats,Butcher,(415) 673-6700,"2395 Chestnut St, San Francisco, CA 94123, USA",San Francisco,CA,49,,,,
papasmeatandseafood@gmail.com,N/A,N/A,Papa's Meat & Seafood Co.,Butcher,(818) 476-2168,"445 S Glenoaks Blvd, Burbank, CA 91506, USA",Burbank,CA,49,,,,
mike@topshelfmeats.com,Mike,N/A,Brown's Top Shelf Meats,Butcher,(805) 852-5213,"2260 Townsgate Rd #1, Westlake Village, CA 91361, USA",Westlake Village,CA,48,,,,
INFO@MEATANDVINO.COM,N/A,N/A,Meat & Vino Market,Butcher,(562) 283-3002,"901 E Wardlow Rd, Long Beach, CA 90807, USA",Long Beach,CA,46,,,,
contact@sfmeatco.com,N/A,N/A,San Francisco Meat Co.,Butcher,(415) 529-2349,"320 Fell St, San Francisco, CA 94102, USA",San Francisco,CA,44,,,,
info@campfiremeats.com,N/A,N/A,Campfire Meats,Butcher,(209) 869-9900,"601 Zeff Rd, Modesto, CA 95351, USA",Modesto,CA,43,,,,
Supremebutchery1@gmail.com,N/A,N/A,Supreme Butchery,Butcher,(747) 300-2160,"10654 Zelzah Ave, Granada Hills, CA 91344, USA",Granada Hills,CA,43,,,,
ranchersmeats.custom@gmail.com,N/A,N/A,Ranchers Meats,Butcher,(530) 824-6328,"890 Marguerite Ave, Corning, CA 96021, USA",Corning,CA,42,,,,
info@marinsunfarms.com,N/A,N/A,Marin Sun Farms Butcher Shop,Butcher,(510) 601-8997,"5655 College Ave, Oakland, CA 94618, USA",Oakland,CA,41,,,,
bakersfieldmeatco@gmail.com,N/A,N/A,Bakersfield Meat Co.,Butcher,(661) 837-1268,"1700 S Union Ave, Bakersfield, CA 93307, USA",Bakersfield,CA,37,,,,
info@butcherandbooze.com,N/A,N/A,Butcher and Booze,Butcher,(747) 277-1117,"305 N Central Ave, Glendale, CA 91203, USA",Glendale,CA,36,,,,
contact@kaiwagyu.com,N/A,N/A,Kai Wagyu,Butcher,(714) 884-4825,"3001 Bristol St Ste C, Costa Mesa, CA 92626, USA",Costa Mesa,CA,35,,,,
info@richardsonfarms.net,"""","""",Richardson's Farm,Apple Orchard,(410) 335-5900,"5900 Ebenezer Rd, White Marsh, MD 21162, United States",White Marsh,Maryland,3768,http://richardsonfarms.net/,les@richardsonfarms.net,massive place that has never been emailed,
clarkselioakfarm@gmail.com,"""","""",Clark's Elioak Farm,Apple Orchard,(410) 730-4049,"10500 Clarksville Pike, Ellicott City, MD 21042, United States",Ellicott City,Maryland,2498,http://www.clarklandfarm.com/?utm_source=google-gmb-maps&utm_medium=gmb-website-button&utm_campaign=locl.io&utm_content=ae4ba605-c6ea-4dd5-b419-53d6fdb1ffc0,,wow never been emailed either thats crazy these places are huge,
info@millerfarmsclinton.com,"""","""",Miller Farms,Apple Orchard,(301) 297-9370,"10140 Piscataway Rd, Clinton, MD 20735, United States",Clinton,Maryland,2240,http://www.millerfarmsclinton.com/,,"never been emailed either, may need to hit these now and again after season?",
info@butlersorchard.com,"""","""",Butler's Orchard,Apple Orchard,(301) 428-0444,"22222 Davis Mill Rd, Germantown, MD 20876, United States",Germantown,Maryland,2170,http://www.butlersorchard.com/,,wow how have none of these been hit,
info@weberscidermillfarm.com,"""","""",Weber's Cider Mill Farm Inc,Apple Orchard,(410) 668-4488,"2526 Proctor Ln, Parkville, MD 21234, United States",Parkville,Maryland,2056,http://webersfarm.com/,,,
cmoinfo@aol.com,"""","""",Catoctin Mountain Orchard,Apple Orchard,(301) 271-2737,"15036 N Franklinville Rd, Thurmont, MD 21788, United States",Thurmont,Maryland,1450,http://www.catoctinmountainorchard.com/,,"never emailed, massive",
contactus@pickyourown.com,"""","""",Larriland Farm Inc,Apple Orchard,(410) 442-2605,"2415 Woodbine Rd, Woodbine, MD 21797, United States",Woodbine,Maryland,1430,http://www.pickyourown.com/,,"so I've never emailed anything in md, only milburn because of the show lead",
info@baughers.com,"""","""",Baugher's Orchards & Farm,Apple Orchard,(410) 848-5541,"1015 Baugher Rd, Westminster, MD 21158, United States",Westminster,Maryland,1384,http://www.baughers.com/,,WHM lead but can't remember the kdm,
laura@millersfoodmarket.com,Laura,"""",Miller's Food Market Inc,Grocery Store,(410) 374-4545,"3075 Manchester Rd, Manchester, MD 21102, United States",Manchester,Maryland,659,https://www.millersfoodmarket.com/,"grocery store, worth emailing",,
gaverfarm@gmail.com,"""","""",Gaver Farm,Apple Orchard,"""","5501 Detrick Rd, Mt Airy, MD 21771, United States",Mt Airy,Maryland,637,http://www.gaverfarm.com/,"whm lead too, laura maybe? can't remember just start over",,
emilysproduce@yahoo.com,"""","""",Emily's Produce,Apple Orchard,(443) 521-0789,"2214 Church Creek Rd, Cambridge, MD 21613, United States",Cambridge,Maryland,636,http://www.emilysproduce.com/,awesome looking place,,
info@maryslandfarm.com,"""","""",Mary's Land Farm,Apple Orchard,(410) 849-4314,"4979A Sheppard Ln, Ellicott City, MD 21042, United States",Ellicott City,Maryland,570,http://www.mary.farm/,nice looking farm store,,
mistymeadowfarm14230@hotmail.com,"""","""",Misty Meadow Farm Creamery,Apple Orchard,(301) 824-2112,"14325 Misty Meadow Rd, Smithsburg, MD 21783, United States",Smithsburg,Maryland,535,http://www.mistymeadowsfarmcreamery.com/,good pl lead,,
wecare@rootsmkt.com,"""","""",Roots Market,Grocery Store,(443) 535-9321,"5805 Clarksville Square Dr, Clarksville, MD 21029, United States",Clarksville,Maryland,447,http://www.rootsmkt.com/,"2 loactions, looks nice solid lead",,
info@shlagelfarms.com,"""","""",Shlagel Farms,Apple Orchard,(301) 645-4554,"12850 Shlagel Rd, Waldorf, MD 20601, United States",Waldorf,Maryland,346,http://www.shlagelfarms.com/,"strawberries, looks big",,
info@sweetbayfarmsnursery.com,"""","""",Sweetbay Farms Nursery & Garden Center,Apple Orchard,Garden Center,"100 John St, Westminster, MD 21157, United States",Westminster,Maryland,340,https://sweetbayfarmsnursery.com/,,,
barron@shaworchards.com,Barron,"""",Shaw Orchards,Apple Orchard,(717) 382-8879,"5594 Norrisville Rd, White Hall, MD 21161, United States",White Hall,Maryland,322,http://www.shaworchards.com/,"Barron is the owner, looks nice",,
ally@magnoliameadowfarms.com,Ally,"""",Magnolia Meadow Farms,Apple Orchard,(301) 606-4086,"13001 Creagerstown Rd, Thurmont, MD 21788, United States",Thurmont,Maryland,320,http://www.magnoliameadowfarms.com/,very nice,,
lewisorchards@icloud.com,"""","""",Lewis Orchards,Apple Orchard,(301) 349-4101,"18901 Peach Tree Rd, Dickerson, MD 20842, United States",Dickerson,Maryland,290,http://lewisorchardfarmmarket.net/,looks very nice,,
charles@wrightsmarket.com,Charles,"""",Wright's Market,Apple Orchard,(410) 742-8845,"9300 Old Railroad Rd, Mardela Springs, MD 21837, United States",Mardela Springs,Maryland,258,http://wrightsmarket.com/,all of these places are huge I'm emailing these tomorrow,,
